sehir,isim,ilce,adres
Ankara,"
Ibis Ankara Airport
",Ankara,Balikhisar Mah Ozal Bulvari
Nevşehir,"
Dadak Thermal Spa & Wellness Hotel
",Nevşehir,Emek Mahallesi Kaplica Caddesi 198
Nevşehir,"
Viva Otel Kapadokya
",Nevşehir,Yeni Mah. Kayseri Cad. No: 55/1
Iğdır,"
Hotel Imparator
",Iğdır,Igdir Girisi DSI Karsisi
Sarıkamış,"
Bildik Hotel
",Sarıkamış,Gaziler Kolordu Cad. No:34
Sarıkamış,"
Dolina Sarıkamış Otel
",Sarıkamış,Inonu Mah. Bayrak Tepe Kayak Merkezi No: 28
Agri,"
Otel Hatemoglu
",Agri,Cumhuriyet Caddesi 1703 Sokak No : 20/A
Agri,"
Grand Cenas Hotel
",Agri,Erzurum Yolu Uzeri
Doğubeyazıt,"
Golden Hill Hotel
",Doğubeyazıt,Cevre Yolu Uzeri Dogubeyazit
Agri,"
Kilicaslan Otel
",Agri,Kagizman Cad. No:210
Doğubeyazıt,"
Simer Hotel Dogubeyazit
",Doğubeyazıt,Tepe Bag Mevki Iran Yolu 3 Km
Doğubeyazıt,"
Hotel Ararat
",Doğubeyazıt,Belediye Cad. No:24
Doğubeyazıt,"
Zümrüt Otel
",Doğubeyazıt,İstasyon Cad. Toplu İş Hanı Muş Merkez
Bingol,"
Grand Berti Otel
",Bingol,Saray Mah. Elazig-Mus Yolu Cad. No 100
Karaman,"
Aygun Hotel
",Karaman,Ahi Osman Mah. 36. Sok. No 6/1
Karaman,"
Nadir Otel
",Karaman,Ahi Osman Mah 31. Sok. No: 10
Ermenek,"
Selcuklu Otel
",Ermenek,Seyran Mah. Ahmet Kelesoglu Cad.
Karaman,"
Grand Mesut Hotel
",Karaman,Ataturk Mah. Konya yolu 1. Km. No:28
Karaman,"
Demosan Otel
",Karaman,Yesilada Mahmut Cad. No 107
Göreme,"
Melek Cave Hotel
",Göreme,Gaferli Mah. Cevizler Sok. No 28
Göreme,"
göreme city hotel
",Göreme,"Avcilar Mahallesi, Pansiyon Sokak No:3"
Göreme,"
Osmanbey Cave House
",Göreme,Goreme Kasabasi Ali Cavus Sokak No. 5
Göreme,"
Oriental Cave Suites
",Göreme,Roma Kalesi ArkasI No:7
Niğde,"
Nahita Hotel
",Niğde,Emin Erişingil Cad. No19 Niğde Merkez
Ayvalı,"
Gamirasu Cave Hotel
",Ayvalı, 
Niğde,"
Grand Hotel Niğde
",Niğde,Cumhuriyet Meydani
Çamardı,"
Ozsafak Pension
",Çamardı,Çamardı Çukurbag Köyü
Niğde,"
Hotel Celikhan
",Niğde,"Ciftehan, Ulukisla"
Çıftehan,"
Celikhan Thermal Hotel & Spa
",Çıftehan,Ciftehan
Aksaray,"
Otel Ay
",Aksaray,Küçük Langa Cad. Valide Cami Sok. No:30
Aksaray,"
Gözde Otel
",Aksaray,Selim Paşa Sok. No:40
Aksaray,"
Ozbek Hotel
",Aksaray,"Mustafa Kemal Paşa Cad. Tiryaki Hasan Paşa Sok. No 1, Fatih"
Aksaray,"
Hotel Kanada
",Aksaray,İnebey Mah. Küçüklanga Cad. No:4
Aksaray,"
Abaylar Otel
",Aksaray,Karasu Mevkii Petrol Ofisi Istasyonu
Aksaray,"
Örün Otel
",Aksaray,Namık Kemal Cad. Abdullah Çavuş Sok. No:23
Aksaray,"
Hotel Akyıldız
",Aksaray,"Mustafa Kemal Paşa Cad. Langa Bostanları Sok. No:6 Topkapı, Fatih"
Ihlara,"
Ihlara Termal Tatil Koyu
",Ihlara,Guzelyurt Ilcesi Yaprakhisar Koyu Ziga Mevkii
Aksaray,"
Grand Saatçioğlu Otel
",Aksaray,Turizm Cad. Aksaray Merkez
Aksaray,"
Fuar Hotel
",Aksaray,Namık Kemal Cad. Küçük Langa Aralığı No:1
Aksaray,"
Agacli Tesisleri Ihlara Hotel
",Aksaray,Ankara Adana Asfalti E 90 karayolu Uzeri Nevsehir Yol Kavsagi
Aksaray,"
Kuzucular Park Hotel
",Aksaray,Taşpazar Mahallesi 868.Sokak No:68 (Belediye Tiyatro Salonu Yanı)
Nevşehir,"
Explorer Cave Hotel
",Nevşehir,Aydınlı Mah. Kevenci Sok. No:16 Goreme
Nevşehir,"
1001 Gece Hotel
",Nevşehir,Tekeli Mah. No 28 Uchisar
Göreme,"
Imperial Cave Hotel
",Göreme,"Gaferli Mahallesi, Aydinkiragi Mevki, No:34"
Göreme,"
Local Cave House Hotel
",Göreme,Gaferli Mah. Cevizler Sok. No 11
Nevşehir,"
Goreme Camping
",Nevşehir,AcIk hava muze yolu uzeri 300. metre goreme / merkez
Göreme,"
Cappadocia Tourist Hotel
",Göreme,Goreme Acik Hava Muzesi Yolu
Nevşehir,"
Unfa Hotel
",Nevşehir,Sehit Ali Guven Cad. No:12 Derinkuyu
Nevşehir,"
Zumrut Hotel
",Nevşehir,Eski Sanayi Meydani Yeni Postahane Karsisi No: 7 Merkez
Nevşehir,"
Dedeman Kapadokya
",Nevşehir,Ürgüp Yolu 2 Km
Nevşehir,"
Crystal Kaymakli Hotel & Spa
",Nevşehir,Belediye Cad.No:114
Nevşehir,"
Altinoz Hotel
",Nevşehir,Ragip Uner Cad. No:23
Nevşehir,"
Dinler Hotels - Nevşehir
",Nevşehir,Ürgüp Yolu 2. km
Tokat,"
Cavusoglu Tower Hotel
",Tokat,G.O.P. Bulv. Tokat Plaza Is Merkezi No: 172/A
Sivas,"
Sultan Hotel Sivas
",Sivas,Eski Belediye Sok 18
Sivas,"
Otel Fatih
",Sivas,Kurşunlu Cad. No:22 Sivas Merkez
Sivas,"
Pasabey Hotel
",Sivas,Pulur Mh. Arapseyh Cd. No 12
Sivas,"
Köşk Otel
",Sivas,Atatürk Caddesi No: 7
Sivas,"
Sivas Büyük Hotel
",Sivas,Örtülüpınar Mah. İstasyon Cad. Sivas Merkez
Sivas,"
Hotel Nevv
",Sivas,Ataturk Cad. No 96
Sivas,"
Eretna Hotel
",Sivas,Atatürk Caddesi No:36
Sivas,"
Revag Palace Hotel
",Sivas,Ataturk cad. Kepceli mevkii No:91
Boğazkale,"
Baskent Demiralan Hotel
",Boğazkale,Hattusas Mah. Yazilikaya Yolu uzeri No:45 Bogazkale
Yozgat,"
Saffron Hotel
",Yozgat,Sivas Karayolu 13. Km. Yozgat Merkez
Yozgat,"
Galata Çamlık Hotel
",Yozgat,Develik Mah. Çamlık Milli Parkı Yozgat Merkez
Yozgat,"
Grand Eser Otel
",Yozgat,Şeyh Osman Mah. Adnan Menderes Bulv. No:85 Yozgat Merkez
Yozgat,"
Hitit Hotel
",Yozgat,Sakarya Cad. Cumhuriyet Meydani Karsisi No:5
Şereflikoçhisar,"
Yıldırım Hotel
",Şereflikoçhisar,Kale Mah.Ankara Cad. No:5
Göreme,"
Suhan Park
",Göreme,Orta Mah. Uzun Dere Sok. No:25
Uçhisar,"
Kapadokya Lodge Hotel
",Uçhisar,Ürgüp Yolu Uçhisar Yol Kavşağı Uçhisar
Hacıbektaş,"
Evrim Hotel
",Hacıbektaş,Nevsehir Cad. Ataturk Bulvari Terminal Karsisi
Kırşehir,"
Grand Hotel Terme
",Kırşehir,Terme Cd 132
Kırşehir,"
Citak Resort Hotel
",Kırşehir,Yenice Mahalle Terme Caddesi No: 74
Kırşehir,"
Çoşkun Tuna Otel
",Kırşehir,Aşık Paşa Mah. No:33 Kırşehir Merkez
Kırşehir,"
Cingöz Otel
",Kırşehir,Ahi Evran Mah. M. Ali Yapıcı Bulv. No:22/A
Kırşehir,"
Temur Termal Otel
",Kırşehir,Temur Termal Otel Kuşdilli Mah. Yıldırım Beyazit Cad. No:5
Kırşehir,"
Makissos Thermal & SPA Hotel
",Kırşehir,Baglar Basi Mah. Sehit Kerem Aydin Cd. No: 49/51
Çankırı,"
Cankiri Koc Hotel
",Çankırı,Cankiri Ankara Karayolu 2 KM
Çankırı,"
Otel Sim
",Çankırı,Atatürk Bulv. No 42 Çankırı Merkez
Ilgaz,"
Ilgaz Derbent Hotel
",Ilgaz,Ilgaz Dagi Sehitlik Mevkii Cankiri
İznik,"
Iznik Hotel
",İznik,Selcuk Mah. Gol Sahil Yolu No. 22
İznik,"
Grand Hotel Belekoma
",İznik,Gol Sahil Yolu Cd. No:8
Sapanca,"
Uğurlubey Butik Dağ Oteli
",Sapanca,"DibektasI Mahallesi, Yayla Caddesi Yasar Sokak No:2 Kurtkoy Sapanca"
Bilecik,"
Kent Otel
",Bilecik,Merkez No 2 Bilecik Merkez
Çanakkale İli Seyahat,"
Dört Mevsim Suit Otel
",Çanakkale İli Seyahat > ,Barbaros Mah. Binboğa Sok No: 1
Çanakkale İli Seyahat,"
TJ's Hostel
",Çanakkale İli Seyahat > ,Kemal Pasa Mah. Cumhuriyet Cad. No 5/A
