sehir,isim,ilce,adres
İstanbul Otelleri,"
BEST WESTERN PREMIER Acropol Suites & Spa
",> Sultanahmet,Akbıyık Cad. No 21
İstanbul Oda ve Kahvaltı / Pansiyon,"
Taya Hatun Hotel
",> Sultanahmet,Nobethane cad. Kum Meydani sok. no:4/4A
İstanbul Otelleri,"
Galata Istanbul Hotel
",> Sultanahmet,Hocapasa Mah. Nobethane Cad. No : 24 Sultanahmet
İstanbul Otelleri,"
Star Hotel Istanbul
",> Sultanahmet,Akbiyik cad. No:10
İstanbul Otelleri,"
Style Hotel Sisli
",> Sisli,"Merkez Mahallesi, Abide-i Hurriyet Cad, Iskenderoglu Sokak No: 28/A, Sisli"
İstanbul Otelleri,"
Istanbul Golden City Hotel
",> Karakoy,"Tersane Caddesi No:111, Galata, Beyoglu"
İstanbul Otelleri,"
Taba Luxury Suites
",> Besiktas,"Elifoglu Sokak No. 1, Gayrettepe"
İstanbul Otelleri,"
Mama Shelter Istanbul
",> Beyoglu,Istiklal Caddesi No:50-54
İstanbul Otelleri,"
LaSagrada
",> Sisli,Mesrutiyet Mahallesi Halaskargazi Caddesi No:96 Osmanbey Sisli
İstanbul Otelleri,"
Deniz Houses
",> Sultanahmet,Kucuk Ayasofya Cad. Cayiroglu Sok. No14
İstanbul Otelleri,"
Mercure Istanbul Altunizade
",> Uskudar,Oymaci Sok No 9 Altunizade Altunizade Mah Kisikli Cad
İstanbul Otelleri,"
BEST WESTERN Premier The Home Suites & Spa
",> Sultanahmet,Kucukayasofya Caddesi No 60
İstanbul Otelleri,"
Titanic City Hotel
",> Beyoglu,"Lamartin Cad. No:47 Taksim, Beyoğlu"
İstanbul Otelleri,"
Anemon Galata Hotel
",> Beyoglu,"Bereketzade Mah. Büyük Hendek Cad. No:5 Arapcami, Beyoğlu"
İstanbul Otelleri,"
Albinas Hotel
",> Sultanahmet,Kucukayasofya Mah. Mustafapasa Sok. No:48
İstanbul Otelleri,"
Ocean's 7 Hotel
",> Sultanahmet,Cankurtaran Mh. Amiral Tafdil Sk. No: 18/1
İstanbul Otelleri,"
Best Nobel Hotel
",> Sultanahmet,Ebu Suud Cad. Saffetli Paşa Sok. No 8 D 16
İstanbul Otelleri,"
Marti Istanbul Hotel
",> Beyoglu,"Abdulhakhamit Cad., No: 25/B, Taksim"
İstanbul Otelleri,"
Fraser Place Anthill Istanbul
",> Sisli,Cumhuriyet Mah. Incirlidede Cad. No 6
İstanbul Otelleri,"
The Bosphorus House
",> Uskudar,Aziz Mahmud Hudai Mah. Halk Cad. No : 44 Uskudar
İstanbul Otelleri,"
The Sofa Hotel
",> Sisli,"Teşvikiye Cad. No:41/A Nişantaşı, Şişli"
İstanbul Otelleri,"
Orka Royal Hotel
",> Sultanahmet,"Hoca Paşa Mah. Nöbethane Cad. No 10 Ahırkapı, Fatih"
İstanbul Otelleri,"
Avantgarde Levent Hotel
",> Sisli,Büyükdere Cad. No 161
İstanbul Otelleri,"
Mia Berre Hotel
",> Besiktas,Dikilitas Mh. Ayazmadere Cd. No:6
İstanbul Otelleri,"
Senatus Hotel
",> Sultanahmet,Akbiyik Caddesi No 40
