sehir,isim,ilce,tel,adres
İl Ankara,GÖKÇEN DİŞ LABORATUVARI,Çankaya,0312 433 25 55,"Bayındır Sok. No:30/2  Kocatepe Mah. Yenişehir, Çankaya, Ankara"
İl İzmir,ÇALIŞKANLAR DİŞ LABORATUVARI,Bornova,0232 445 09 04,"Fatih Cad. 5500/3. Sok. No:6/C  Tuna Mah. Çamdibi, Bornova, İzmir"
İl İstanbul,NATUREL DİŞ LABORATUVARI,Kadıköy,0216 405 23 87,"Beyciğim Sok. No:11 D:4 Rasimpaşa Mah. Kadıköy, İstanbul"
İl Ankara,DENTALAS DİŞ LABORATUVARI - DENTALAS SAĞLIK ARAÇLARI TİC.LTD.ŞTİ.,Çankaya,0312 418 42 82,"Menekşe Sok. No:29/1  Kızılay Mah. Çankaya, Ankara"
İl İstanbul,TEKNODENT - TEKNODENT SAĞLIK VE RÖNTGEN LABORATUAR HİZMETLERİ TİC.LTD.ŞTİ.,Kadıköy,0216 360 73 30,"Bağdat Cad. No:241 Sim Apt. D:5 Göztepe Mah. Kadıköy, İstanbul"
İl Balıkesir,OCAK DİŞ PROTEZ LABORATUVARI - OCAK DİŞ PROTEZ LTD.ŞTİ.,Gönen,0266 762 81 97,"Müftü Şevket Cad. No:47  Malkoç Mah. Gönen, Balıkesir"
İl İzmir,ÖZEL FORMDENT ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI,Konak,0232 489 84 18,"437. Sok. No:5  Yıldız Mah. Konak, İzmir"
İl Konya,ORAL DENTAL DİŞ LABORATUVARI,Karatay,0332 350 26 93,"Şeyh Ziya Sok. No:5 K:3 Şemsitebrizi Mah. Karatay, Konya"
İl İstanbul,PAVEZYUM - PAVEZYUM KİMYA SAN. VE DIŞ TİC.LTD.ŞTİ.,Tuzla,0216 304 03 72,"Ulu Sok. No:3  Orhanlı Mah. Tuzla, İstanbul"
İl İstanbul,BAHAR DENTAL DİŞ LABORATUVARI,Küçükçekmece,0212 428 36 10,"Hayırlı Cad. No:45/1-A  Kartaltepe Mah. Küçükçekmece, İstanbul"
İl İzmir,EGE DENT TEKNİK ELEKTRONİK SERVİS,Konak,0232 459 81 15,"1145/5 Sok. No:6 Alibey İş Mrk. K:3 D:35 Yenişehir Mah. Konak, İzmir"
İl İstanbul,EMRE KALİBRASYON - İSTANBUL KALİTE SAN. VE DIŞ TİC.LTD.ŞTİ.,Kartal,0216 445 35 51,"Spor Cad. No:64/C  Çavuşoğlu Mah. Kartal, İstanbul"
İl İzmir,COM PRO DENT - COM PRO DENT BİLGİSAYAR PROGRAMLAMA DENTAL MEDİKAL SAN. VE TİC.LTD.ŞTİ.,Gaziemir,0232 210 70 77,"351. Sok. No:8 Şükrü Ölçer İş Mrk. Binbaşı Reşatbey Mah. Gaziemir, İzmir"
